name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
fortif_incaparina,Fortif_incaparina,nino,e. Alimentos Fortificados,"Ayer consumió atol de Incaparina o comidas preparadas con Incaparina: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_incaparina_dias,Fortif_incaparina_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió atol de Incaparina o comidas preparadas con Incaparina (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_incaparina_veces,Fortif_incaparina_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió atol de Incaparina o comidas preparadas con Incaparina,factor,,,1;2;3;4;5;6;7;8,,
fortif_vitacereal,Fortif_vitacereal,nino,e. Alimentos Fortificados,"Ayer consumió Vitacereal o comidas preparadas con Vitacereal: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88,,
fortif_vitacereal_dias,Fortif_vitacereal_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió Vitacereal o comidas preparadas con Vitacereal (9=No sabe),factor,,,1;2;3;4;5;7,,
fortif_vitacereal_veces,Fortif_vitacereal_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió Vitacereal o comidas preparadas con Vitacereal,factor,,,1;2;3;4;5,,
talla_resultado_medicion,Talla_Resultado_medicion,nino,f. Antropometría,"Resultado de la medición de talla: 1=Medido, 3=No presente, 5=Rechazo, 6=Otro",factor,,,1;2;3;5;6,,
talla_hora,Talla_hora,nino,f. Antropometría,Hora de medición de talla,numeric_continuous,0,126360,,,bounds inferred from observed range with buffer; requires review
talla_equipo,Talla_equipo,nino,f. Antropometría,Código tallimetro,id,,,,,
peso_resultado_medicion,Peso_Resultado_medicion,nino,f. Antropometría,"Resultado de la medición de peso: 1=Medido, 3=No presente, 5=Rechazo, 6=Otro",factor,,,1;2;5;6,,
pesoropanino,PesoRopaNino,nino,f. Antropometría,Peso de la ropa del niño (kg),numeric_continuous,0,5,,kg,weight of child clothing during anthropometric measurement
peso_hora,Peso_hora,nino,f. Antropometría,Hora de medición de peso,numeric_continuous,0,104610,,,bounds inferred from observed range with buffer; requires review
peso_equipo,Peso_equipo,nino,f. Antropometría,Código de pesa,id,,,,,
muac_resultado_medicion,MUAC_Resultado_medicion,nino,g. Índices biológicos,Resultado de la medición de perímetro braquial,factor,,,1;3;5;6;96,,
muac_hora,MUAC_hora,nino,g. Índices biológicos,Hora de medición de perímetro braquial,numeric_continuous,0,121020,,,bounds inferred from observed range with buffer; requires review
muac_equipo,MUAC_equipo,nino,g. Índices biológicos,Código del equipo para tomada de perímetro braquial,id,,,,,
sangre_ven_recolect,Sangre_ven_recolect,nino,g. Índices biológicos,Sangre venosa recolectada,binary,,,1;2,,
sangre_ven_suf,Sangre_ven_suf,nino,g. Índices biológicos,Sangre venosa volumen suficiente,binary,,,1;2,,
